label,age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,net_type,task_id,adv_id,creat_type_cd,adv_prim_id,inter_type_cd,slot_id,site_id,spread_app_id,hispace_app_tags,app_second_class,app_score,pt_d,u_newsCatInterestsST,u_refreshTimes,u_feedLifeCycle
1,6,4,33,319,3,27,2,11,319,2032,7,10967,14491,8,1121,4,13,1,298,49,17,10.0,202206081120,1,7,17
1,3,4,17,254,5,34,7,21,136,1786,7,35422,13904,8,1537,4,12,1,197,46,15,10.0,202206050116,1,0,12
1,2,3,30,113,5,31,3,21,210,2177,7,30273,20310,8,1363,5,22,1,317,39,15,10.0,202206060615,0,4,17
1,5,2,23,262,4,16,5,21,183,1284,7,35422,12785,8,1537,4,12,1,197,46,15,10.0,202206050320,0,0,12
1,7,2,20,249,2,30,3,13,194,1199,7,24899,10856,8,1363,5,22,1,317,39,15,10.0,202206051243,0,6,17
1,8,2,17,254,5,30,3,35,351,2117,4,10089,18250,8,1893,5,50,1,246,47,23,0.0,202206070627,1,5,17
1,3,2,12,125,4,17,4,19,130,2117,7,33968,13470,8,1036,4,40,1,312,43,18,10.0,202206060716,1,0,16
1,5,2,26,380,4,32,6,20,229,2117,7,10504,18672,7,1097,3,34,1,213,18,23,0.0,202206050501,0,4,17
1,5,2,20,372,5,15,6,20,257,1524,7,17039,10865,10,1323,4,16,1,321,43,18,10.0,202206070327,0,0,15
1,7,2,28,119,2,32,6,19,141,2117,7,18002,20420,7,1097,3,40,1,213,18,23,0.0,202206040204,0,0,16
1,2,2,24,431,5,31,3,21,210,2177,3,34387,13983,8,1290,4,22,1,346,30,28,10.0,202206070157,1,0,13
1,7,3,16,212,5,32,6,32,187,2401,7,31941,21695,8,1036,4,42,1,312,43,18,10.0,202206060540,0,8,17
1,5,2,21,434,5,34,7,28,233,2117,7,22295,10073,5,1189,4,53,1,152,49,17,10.0,202206040651,0,8,17
1,3,3,17,373,4,30,3,13,265,2271,7,31941,21695,8,1036,4,13,1,312,43,18,10.0,202206061057,0,9,17
1,5,2,34,165,2,16,5,21,183,2260,7,12025,18357,8,1356,5,12,1,309,20,13,10.0,202206030716,0,4,11
1,8,2,22,203,4,31,3,20,248,1033,7,33968,13470,8,1036,4,17,1,312,43,18,10.0,202206050301,0,2,17
1,9,2,20,194,2,15,6,20,257,1524,7,32275,20944,8,1535,4,28,1,168,43,18,10.0,202206070818,1,0,17
1,8,2,19,115,2,32,6,20,215,2117,4,22949,14280,8,2001,5,34,1,162,47,14,10.0,202206070901,0,6,17
1,7,2,41,106,2,34,7,21,219,2208,6,28401,19121,7,1391,3,30,1,213,18,23,0.0,202206030723,0,6,17
1,8,3,17,343,5,32,6,20,229,2117,7,26771,17441,5,1296,3,54,1,213,18,23,0.0,202206050742,0,9,17
1,6,4,33,319,3,27,2,11,351,2032,7,15282,21666,3,1594,4,13,1,228,51,16,10.0,202206040459,1,9,17
1,8,2,24,431,5,16,5,35,324,1700,7,34041,13608,8,1036,4,38,1,312,43,18,10.0,202206030116,0,0,15
1,7,2,20,224,2,11,8,37,252,2117,7,27075,20100,8,1211,4,35,1,306,27,14,10.0,202206070123,1,0,11
1,2,2,21,251,2,30,3,28,263,1033,7,10548,16749,8,1669,4,17,1,344,20,13,10.0,202206050929,1,5,17
1,2,2,45,419,2,16,5,21,170,2401,7,13874,10873,8,1090,5,54,1,190,47,14,10.0,202206090743,0,9,17
1,5,2,34,211,2,16,5,21,127,2401,4,20211,15454,8,1694,5,54,1,332,47,14,10.0,202206031016,0,2,17
1,5,2,20,334,2,11,8,36,302,2117,7,18095,11909,8,1837,4,25,1,152,49,17,10.0,202206051110,0,0,16
1,8,2,45,256,2,32,6,20,222,1555,7,17356,12889,6,1890,4,46,1,250,49,17,10.0,202206041109,1,0,16
1,3,2,11,169,2,30,3,11,343,2353,4,18963,15506,3,1232,4,59,1,301,47,14,10.0,202206040303,0,0,17
1,3,2,46,354,2,16,5,13,292,1891,7,11911,13930,8,1036,4,54,1,312,43,18,10.0,202206070322,1,0,15
1,5,2,41,135,5,16,5,20,334,2117,4,22787,22954,3,1690,5,42,1,101,19,18,10.0,202206081118,0,5,17
1,4,2,16,212,5,16,5,19,124,2117,7,20553,10618,8,1381,4,40,1,250,49,17,10.0,202206080720,0,0,16
1,2,2,20,170,4,11,8,29,337,2341,7,22100,18060,10,1486,4,16,1,344,20,13,10.0,202206070816,1,0,11
1,8,2,17,283,4,11,8,32,301,1186,7,12115,11678,10,1982,5,14,1,240,12,29,10.0,202206070616,0,8,17
1,6,4,33,319,3,27,2,11,168,2117,3,28790,15777,8,2068,5,54,1,287,49,17,10.0,202206030304,0,0,15
1,2,2,26,239,2,11,8,37,252,2541,7,31795,15534,8,1356,5,28,1,309,20,13,10.0,202206040836,0,0,17
1,5,2,18,368,2,19,6,30,228,1505,7,22548,20159,8,1696,4,42,1,349,45,18,10.0,202206030826,1,2,11
1,9,2,26,239,2,16,5,21,225,2401,7,22280,23294,8,1518,4,26,1,114,43,18,10.0,202206091010,1,0,10
1,5,3,39,429,5,16,5,28,262,2478,7,35422,13904,8,1537,4,54,1,197,46,15,10.0,202206030724,1,0,16
1,8,2,32,179,5,31,3,20,346,2032,6,25100,21539,9,1382,4,17,1,301,47,14,10.0,202206040635,1,0,15
1,3,2,30,113,5,16,5,21,225,2401,7,16845,18262,3,1060,4,54,1,344,20,13,10.0,202206031008,1,2,15
1,5,2,27,162,5,30,3,28,278,2482,7,28403,13467,8,1577,5,13,1,350,39,15,10.0,202206090840,0,9,17
1,3,4,26,380,4,11,8,23,242,2401,7,29997,19698,8,1106,5,34,1,240,12,29,10.0,202206040645,0,5,17
1,3,2,18,368,2,34,7,21,115,1505,7,34041,13608,8,1036,4,54,1,312,43,18,10.0,202206080222,0,0,15
1,3,2,20,167,2,15,6,20,257,1524,7,15860,20802,8,1036,4,28,1,312,43,18,10.0,202206080826,1,4,17
1,6,4,33,319,3,27,2,11,319,2117,7,14795,11258,8,1005,4,22,1,309,20,13,10.0,202206060402,1,7,17
1,5,2,29,207,4,32,6,32,275,2155,7,11911,13930,8,1036,4,67,1,312,43,18,10.0,202206070317,0,0,12
1,6,4,33,319,3,27,2,11,123,2397,7,13836,21842,2,1913,3,50,1,213,18,23,0.0,202206071125,0,9,17
1,3,2,11,169,2,16,5,28,240,2579,7,34975,15769,10,1562,4,16,1,152,49,17,10.0,202206060912,0,9,17
1,3,2,45,419,2,16,5,13,292,1881,7,36202,23346,8,1633,5,26,1,162,47,14,10.0,202206030917,0,8,17
1,3,3,13,293,2,31,3,20,346,2103,6,27421,10669,8,1471,5,13,1,190,47,23,0.0,202206041013,0,2,17
1,7,2,21,200,4,36,2,21,116,1186,7,15889,11490,8,1404,5,17,1,190,47,23,0.0,202206090721,0,6,17
1,7,2,16,258,2,34,7,21,244,2401,7,19448,11109,5,1556,3,26,1,357,19,18,10.0,202206080110,0,0,13
1,7,2,11,281,2,30,3,35,113,1403,7,33713,16458,8,1031,5,13,1,141,14,17,10.0,202206040512,0,9,17
1,7,2,17,114,2,31,3,20,346,1524,7,13857,15122,8,1392,4,13,1,321,43,18,10.0,202206051105,0,2,10
1,3,4,41,122,2,34,7,20,153,2541,7,10519,20995,8,1669,4,38,1,344,20,13,10.0,202206031238,1,0,15
